epoch,train_loss,seconds,val_loss,val_miou,val_mf1,val_oa,iou_background,iou_building,iou_road,iou_water,iou_barren,iou_forest,iou_agriculture
1,2.38355,267.6,,,,,,,,,,,
2,1.88624,250.2,2.07392,0.19669,0.32262,0.3535,0.21264,0.17322,0.10839,0.31482,0.10231,0.19559,0.26989
3,1.78238,253.6,,,,,,,,,,,
4,1.70965,254.1,1.83693,0.25937,0.40219,0.46999,0.31321,0.32399,0.21628,0.27967,0.07272,0.21706,0.39266
5,1.64679,252.0,,,,,,,,,,,
6,1.58889,253.4,1.82023,0.26471,0.41167,0.46299,0.3289,0.29732,0.28826,0.31586,0.10116,0.18918,0.33231
7,1.53524,259.3,,,,,,,,,,,
8,1.48695,254.8,1.83753,0.28504,0.43573,0.45117,0.23247,0.26247,0.37838,0.34042,0.10822,0.29663,0.37672
9,1.42612,251.6,,,,,,,,,,,
10,1.38154,256.1,1.72294,0.32958,0.49173,0.50235,0.32746,0.35365,0.37929,0.41369,0.18703,0.30395,0.34198
11,1.33876,258.2,,,,,,,,,,,
12,1.31464,253.5,1.66285,0.347,0.50568,0.56137,0.41773,0.38632,0.40199,0.39384,0.1197,0.29104,0.41835
13,1.2965,258.6,,,,,,,,,,,
14,1.27622,276.4,1.65854,0.36261,0.52749,0.5503,0.38055,0.38463,0.42916,0.41558,0.22264,0.27567,0.43007
15,1.23682,262.0,,,,,,,,,,,
16,1.21199,259.0,1.76418,0.34272,0.50704,0.50565,0.34243,0.27264,0.42658,0.44461,0.26419,0.3079,0.34071
17,1.19027,257.1,,,,,,,,,,,
18,1.16235,253.2,1.70048,0.34903,0.51222,0.52467,0.33904,0.33303,0.44204,0.43643,0.20222,0.29468,0.39581
19,1.14778,249.5,,,,,,,,,,,
20,1.12307,248.8,1.54605,0.39654,0.56373,0.59168,0.44571,0.43193,0.49005,0.40095,0.26219,0.316,0.42899
21,1.11427,267.2,,,,,,,,,,,
22,1.09095,250.3,1.51943,0.40703,0.57613,0.5979,0.44493,0.3909,0.45855,0.46572,0.30007,0.35339,0.43561
23,1.09736,249.4,,,,,,,,,,,
24,1.08163,248.7,1.54321,0.40308,0.57193,0.57918,0.39519,0.42369,0.46869,0.4583,0.28517,0.35915,0.4314
25,1.06162,251.1,,,,,,,,,,,
26,1.05977,248.6,1.51237,0.43278,0.60143,0.61036,0.44981,0.50941,0.48065,0.47621,0.32148,0.37049,0.42139
27,1.059,253.8,,,,,,,,,,,
28,1.05773,259.2,1.54703,0.42206,0.59146,0.60644,0.44071,0.45698,0.45212,0.47565,0.3108,0.37479,0.44335
29,1.04573,261.8,,,,,,,,,,,
30,1.04881,264.6,1.51942,0.4252,0.59492,0.60171,0.43049,0.44443,0.47127,0.48624,0.32655,0.3875,0.42993
